"a_o_creacion","mes_creacion","tipo_entidad","codigo_entidad","instancia_recepcion","motivo","producto","departamento","municipio","cantidad_quejas_recibidas"
"2026","3","1","39","Entidad vigilada","Información incompleta o confusa para la transferencia","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Dificultad o imposibilidad para realizar transacciones o consulta de información por el canal","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","SANTANDER","PIEDECUESTA","1"
"2026","3","1","39","Entidad vigilada","Transacción mal aplicada","Cuenta de ahorro","VALLE DEL CAUCA","CANDELARIA","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","36"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","LA ESTRELLA","2"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","MAGDALENA","SANTA MARTA","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","SANTANDER","BARBOSA","2"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","NARIÑO","IPIALES","1"
"2026","3","1","43","Entidad vigilada","Transferencias erradas o duplicadas","Otros productos de Establecimientos de Crédito y SEDPE","HUILA","PITAL","1"
"2026","3","1","39","Entidad vigilada","Diferencia del producto expedido con el solicitado o cotizado o simulado","Tarjetas de crédito","BOYACÁ","TUNJA","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ARAUCA","ARAUQUITA","1"
"2026","3","1","39","Entidad vigilada","Inconsistencias en los pagos a terceros","Depósitos ordinarios (Capítulo II del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","3"
"2026","3","1","43","Entidad vigilada","Retiro completo del depósito","Cuenta de ahorro","ANTIOQUIA","ITUANGO","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","ANTIOQUIA","COPACABANA","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOYACÁ","MONIQUIRÁ","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","PUTUMAYO","MOCOA","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CUNDINAMARCA","ZIPAQUIRÁ","1"
"2026","3","4","124","Entidad vigilada","Inconsistencia en la activación de llave","Cuenta de ahorro","BOLÍVAR","CARTAGENA DE INDIAS","1"
"2026","3","1","30","Entidad vigilada","Cobro por operaciones fallidas en cajeros electrónicos","Cuenta de ahorro","SANTANDER","BARRANCABERMEJA","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta corriente","CUNDINAMARCA","FUSAGASUGÁ","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","NORTE DE SANTANDER","PAMPLONA","1"
"2026","3","1","43","Entidad vigilada","Inconsistencias en el movimiento y saldo total del producto","Cuenta de ahorro","NORTE DE SANTANDER","SAN JOSÉ DE CÚCUTA","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","TOLIMA","VENADILLO","1"
"2026","3","1","7","Entidad vigilada","Reporte injustificado a centrales de riesgo","Tarjetas de crédito","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","43","Entidad vigilada","Reporte injustificado a centrales de riesgo","Créditos comerciales","NORTE DE SANTANDER","EL CARMEN","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","CAUCA","POPAYÁN","1"
"2026","3","1","43","Entidad vigilada","Transferencias no ejecutadas","Otros productos de Establecimientos de Crédito y SEDPE","ANTIOQUIA","CAREPA","1"
"2026","3","1","42","Entidad vigilada","Revisión y/o liquidación de productos","Tarjetas de crédito","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","CUNDINAMARCA","MADRID","1"
"2026","3","1","7","Entidad vigilada","Revisión y/o liquidación de productos","CDT","ANTIOQUIA","MEDELLÍN","12"
"2026","3","4","128","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","HUILA","NEIVA","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Cuenta corriente","ANTIOQUIA","MEDELLÍN","2"
"2026","3","1","7","Superintendencia Financiera de Colombia","Información incompleta y/o errada en la ejecución","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","SEGOVIA","1"
"2026","3","1","23","Superintendencia Financiera de Colombia","Revisión y/o liquidación de productos","Creditos de consumo","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","META","CASTILLA LA NUEVA","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","META","GRANADA","1"
"2026","3","13","44","Entidad vigilada","Vinculación no autorizada","Seguro de accidentes personales","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","BELLO","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","NORTE DE SANTANDER","SAN JOSÉ DE CÚCUTA","1"
"2026","3","1","2","Entidad vigilada","Demora o no aplicación del pago","Tarjetas de crédito","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","4","128","Superintendencia Financiera de Colombia","Otros motivos","Tarjetas de crédito","NORTE DE SANTANDER","VILLA DEL ROSARIO","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","HUILA","NEIVA","2"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","LA GUAJIRA","VILLANUEVA","1"
"2026","3","14","11","Entidad vigilada","Demora en el pago de la indemnización o suma asegurada","Seguro de vida grupo","VALLE DEL CAUCA","TULUÁ","1"
"2026","3","13","33","Entidad vigilada","Inconformidad con el servicio prestado por el proveedor","Seguro de automóviles","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","127","1","Superintendencia Financiera de Colombia","Demora o no aplicación del pago","Planilla integrada de liquidación de aportes","SANTANDER","FLORIDABLANCA","1"
"2026","3","1","1","Superintendencia Financiera de Colombia","Revisión y/o liquidación de productos","Cuenta de ahorro","ATLÁNTICO","BARRANQUILLA","1"
"2026","3","128","6","Entidad vigilada","Dificultad en el acceso a la información","Otros productos de Fiduciarias","BOGOTÁ, D.C.","BOGOTÁ, D.C.","4"
"2026","3","1","7","Superintendencia Financiera de Colombia","Transacción no reconocida","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","CUNDINAMARCA","MOSQUERA","1"
"2026","3","1","56","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","3"
"2026","3","1","43","Entidad vigilada","Dificultad o imposibilidad para realizar transacciones o consulta de información por el canal","Cuenta de ahorro","VALLE DEL CAUCA","CALI","1"
"2026","3","14","11","Entidad vigilada","Fallas en débito automático","Seguro de salud","ANTIOQUIA","GÓMEZ PLATA","1"
"2026","3","1","7","Entidad vigilada","Inconsistencia en la activación de llave","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","13"
"2026","3","1","43","Entidad vigilada","Transferencias no ejecutadas","Otros productos de Establecimientos de Crédito y SEDPE","CESAR","MANAURE BALCÓN DEL CESAR","1"
"2026","3","1","43","Entidad vigilada","Transferencias no ejecutadas","Otros productos de Establecimientos de Crédito y SEDPE","BOYACÁ","BOAVITA","1"
"2026","3","13","5","Entidad vigilada","Información o asesoría incompleta y/o errada","Seguro de accidentes personales","VALLE DEL CAUCA","CALI","1"
"2026","3","1","7","Entidad vigilada","Transferencias no ejecutadas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","SABANETA","1"
"2026","3","1","39","Entidad vigilada","Actualización equivocada de datos personales","Otros productos de Establecimientos de Crédito y SEDPE","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","VALLE DEL CAUCA","PALMIRA","3"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CESAR","TAMALAMEQUE","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Cuenta de ahorro","ATLÁNTICO","BARRANQUILLA","2"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Cuenta de ahorro","BOLÍVAR","CARTAGENA DE INDIAS","1"
"2026","3","1","7","Entidad vigilada","Dificultad o imposibilidad para realizar transacciones o consulta de información por el canal","Creditos de consumo","NORTE DE SANTANDER","SAN JOSÉ DE CÚCUTA","1"
"2026","3","5","12","Otra (remisión por competencia)","Reconocimiento de prestaciones económicas - Inconformidad frente al pago de la prestación económica","Fiducia de administración","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","14","11","Entidad vigilada","Cobros a póliza terminada","Seguro de vida grupo","GUAVIARE","SAN JOSÉ DEL GUAVIARE","1"
"2026","3","1","42","Entidad vigilada","Diferencia del producto expedido con el solicitado o cotizado o simulado","Tarjetas de crédito","BOGOTÁ, D.C.","BOGOTÁ, D.C.","2"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CESAR","VALLEDUPAR","5"
"2026","3","1","56","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","META","VILLAVICENCIO","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","BOLÍVAR","CARTAGENA DE INDIAS","3"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","BOLÍVAR","CARTAGENA DE INDIAS","1"
"2026","3","4","128","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","39","Entidad vigilada","Inconsistencias en el movimiento y saldo total del producto","Tarjetas de crédito","BOYACÁ","SOGAMOSO","1"
"2026","3","1","7","Entidad vigilada","Inconsistencia en seguros","Tarjetas de crédito","ANTIOQUIA","MEDELLÍN","9"
"2026","3","1","42","Entidad vigilada","Inconsistencias en los pagos a terceros","Tarjetas de crédito","MAGDALENA","SANTA MARTA","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","TOLIMA","HONDA","1"
"2026","3","1","7","Entidad vigilada","Fallas o inoportunidad en el proceso de vinculación","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CUNDINAMARCA","TOCANCIPÁ","1"
"2026","3","1","43","Entidad vigilada","Dificultad o imposibilidad para realizar transacciones o consulta de información por el canal","Cuenta de ahorro","CESAR","VALLEDUPAR","2"
"2026","3","1","7","Entidad vigilada","Inconsistencias en el movimiento y saldo total del producto","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","TOLIMA","NATAGAIMA","1"
"2026","3","14","11","Entidad vigilada","Demora en la prestación del servicio","Seguro de salud","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOLÍVAR","CARTAGENA DE INDIAS","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","SANTANDER","PIEDECUESTA","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CÓRDOBA","CERETÉ","1"
"2026","3","1","43","Entidad vigilada","Reporte injustificado a centrales de riesgo","Créditos comerciales","CUNDINAMARCA","CAPARRAPÍ","1"
"2026","3","1","7","Entidad vigilada","Inconformidad con tasas de interés","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","1"
"2026","3","5","12","Otra (remisión por competencia)","Información incompleta y/o errada en la ejecución","Fiducia de administración","VALLE DEL CAUCA","CALI","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ATLÁNTICO","BARRANQUILLA","9"
"2026","3","128","6","Entidad vigilada","No cancelación o terminación de los productos","Otros productos de Fiduciarias","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","39","Entidad vigilada","Información incompleta o confusa para la transferencia","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CAUCA","POPAYÁN","1"
"2026","3","1","56","Entidad vigilada","Incumplimiento de los términos del contrato","Tarjetas de crédito","ANTIOQUIA","BELLO","1"
"2026","3","1","49","Superintendencia Financiera de Colombia","Inconsistencia en el cálculo y/o aplicación de impuestos","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Mal trato por parte del asesor comercial o proveedor","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","1"
"2026","3","14","1","Entidad vigilada","Inconformidad con el servicio prestado por el proveedor","Seguro de salud","NORTE DE SANTANDER","SAN JOSÉ DE CÚCUTA","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CUNDINAMARCA","GIRARDOT","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","EL SANTUARIO","1"
"2026","3","1","7","Entidad vigilada","Revisión y/o liquidación de productos","Creditos de consumo","ANTIOQUIA","MEDELLÍN","9"
"2026","3","1","43","Entidad vigilada","Transferencias no ejecutadas","Otros productos de Establecimientos de Crédito y SEDPE","SANTANDER","GUADALUPE","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CÓRDOBA","MONTELÍBANO","1"
"2026","3","1","39","Superintendencia Financiera de Colombia","Revisión y/o liquidación de productos","Otros productos de Establecimientos de Crédito y SEDPE","BOLÍVAR","CARTAGENA DE INDIAS","1"
"2026","3","14","11","Entidad vigilada","No prestación del servicio","Seguro de salud","VALLE DEL CAUCA","CALI","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","SAN RAFAEL","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CALDAS","MANIZALES","2"
"2026","3","1","7","Entidad vigilada","Error en la aplicación del pago","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","MEDELLÍN","1"
"2026","3","128","3","Entidad vigilada","Inconsistencia en la activación de llave","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","25","14","Entidad vigilada","Pago de aportes - Aportes inconsistentes o pendientes de acreditar en la cuenta o en la historia laboral","Pensiones obligatorias - Vejez","GUAVIARE","SAN JOSÉ DEL GUAVIARE","1"
"2026","3","1","7","Entidad vigilada","Inconsistencias en los pagos a terceros","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","114"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Cuenta de ahorro","SANTANDER","PIEDECUESTA","1"
"2026","3","1","49","Superintendencia Financiera de Colombia","Inconformidad por bloqueo de productos","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","SANTANDER","FLORIDABLANCA","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CUNDINAMARCA","SOACHA","3"
"2026","3","1","43","Entidad vigilada","Transferencias no ejecutadas","Otros productos de Establecimientos de Crédito y SEDPE","CALDAS","LA DORADA","1"
"2026","3","4","128","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","14","11","Entidad vigilada","No disponibilidad o fallas de los canales de atención","Seguro de riesgos laborales","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","2","Entidad vigilada","Transferencias no ejecutadas","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","39","Entidad vigilada","Información incompleta o confusa para la transferencia","Otros productos de Establecimientos de Crédito y SEDPE","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","39","Superintendencia Financiera de Colombia","Diferencia del producto expedido con el solicitado o cotizado o simulado","Otros productos de Establecimientos de Crédito y SEDPE","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","3"
"2026","3","13","18","Entidad vigilada","Error en la aplicación del pago","Seguro de automóviles","MAGDALENA","CIÉNAGA","1"
"2026","3","1","7","Entidad vigilada","Inconsistencia en el cálculo y/o aplicación de impuestos","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","13"
"2026","3","128","6","Entidad vigilada","Información sujeta a reserva","Depósitos ordinarios (Capítulo II del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","NORTE DE SANTANDER","OCAÑA","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","ATLÁNTICO","SOLEDAD","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","SANTANDER","BARRANCABERMEJA","2"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","QUINDÍO","CALARCÁ","1"
"2026","3","23","3","Superintendencia Financiera de Colombia","Retiro de aportes - Fallas o inconsistencia en el proceso de retiro de cesantías","Cesantías",,,"1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","TOLIMA","AMBALEMA","1"
"2026","3","1","7","Entidad vigilada","Dificultad o imposibilidad para realizar transacciones o consulta de información por el canal","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CAUCA","POPAYÁN","1"
"2026","3","1","30","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Inconsistencias en el movimiento y saldo total del producto","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","MAGDALENA","SANTA MARTA","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","CALDAS","MANIZALES","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ATLÁNTICO","GALAPA","1"
"2026","3","13","18","Entidad vigilada","Cobros a póliza terminada","Seguro de salud","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","7","Entidad vigilada","Dificultad o imposibilidad para realizar transacciones o consulta de información por el canal","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","CAUCASIA","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","SUCRE","LA UNIÓN","1"
"2026","3","1","7","Entidad vigilada","Omisión o envío tardío o inoportuno de informes, extractos o reportes a los que esté obligada la entidad.","CDT","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","1","Superintendencia Financiera de Colombia","SUPLANTACIÓN O FRAUDE","Créditos comerciales","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","13","1","Entidad vigilada","Demora en la prestación del servicio","Seguro de automóviles","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","ATLÁNTICO","BARANOA","1"
"2026","3","1","43","Entidad vigilada","Transferencias no ejecutadas","Otros productos de Establecimientos de Crédito y SEDPE","CUNDINAMARCA","VERGARA","1"
"2026","3","1","56","Entidad vigilada","Incumplimiento de los términos del contrato","Tarjetas de crédito","NORTE DE SANTANDER","SAN JOSÉ DE CÚCUTA","1"
"2026","3","1","7","Entidad vigilada","Inconsistencias en el movimiento y saldo total del producto","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ATLÁNTICO","BARRANQUILLA","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","MEDELLÍN","17"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CAUCA","PIENDAMÓ - TUNÍA","1"
"2026","3","1","7","Entidad vigilada","Inconsistencias en el movimiento y saldo total del producto","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","MEDELLÍN","3"
"2026","3","1","7","Entidad vigilada","Fallas o inoportunidad en el proceso de vinculación","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","LA GUAJIRA","RIOHACHA","1"
"2026","3","1","7","Entidad vigilada","Transferencias erradas o duplicadas","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","33"
"2026","3","1","7","Entidad vigilada","Inconsistencia en el cálculo y/o aplicación de impuestos","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOLÍVAR","CARTAGENA DE INDIAS","1"
"2026","3","1","7","Entidad vigilada","Fallas o inoportunidad en el proceso de vinculación","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","HUILA","NEIVA","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","39"
"2026","3","1","43","Entidad vigilada","Transferencias no ejecutadas","Otros productos de Establecimientos de Crédito y SEDPE","CÓRDOBA","SAN PELAYO","1"
"2026","3","1","39","Superintendencia Financiera de Colombia","Transacción mal aplicada","Otros productos de Establecimientos de Crédito y SEDPE","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","39","Entidad vigilada","Otros motivos","Tarjetas de crédito","SANTANDER","FLORIDABLANCA","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","META","CUMARAL","1"
"2026","3","1","39","Entidad vigilada","Transacción mal aplicada","Cuenta de ahorro","SANTANDER","BARRANCABERMEJA","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","RISARALDA","PEREIRA","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CESAR","PELAYA","1"
"2026","3","1","43","Entidad vigilada","Dificultad o imposibilidad para realizar transacciones o consulta de información por el canal","Cuenta de ahorro","TOLIMA","GUAMO","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","VALLE DEL CAUCA","GUADALAJARA DE BUGA","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","QUINDÍO","ARMENIA","1"
"2026","3","25","14","Entidad vigilada","Traslado de cuenta","Pensiones obligatorias - Vejez","CÓRDOBA","MONTERÍA","1"
"2026","3","1","42","Entidad vigilada","No disponibilidad o fallas de los canales de atención","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","3"
"2026","3","128","3","Entidad vigilada","Inconformidad por bloqueo de productos","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","4"
"2026","3","1","43","Entidad vigilada","Transferencias no ejecutadas","Otros productos de Establecimientos de Crédito y SEDPE","VALLE DEL CAUCA","SEVILLA","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","PUERTO BERRÍO","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOLÍVAR","CARTAGENA DE INDIAS","6"
"2026","3","1","7","Entidad vigilada","Transferencias erradas o duplicadas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","SUCRE","SINCELEJO","1"
"2026","3","1","7","Entidad vigilada","Inconformidad en proceso de embargos","Cuenta corriente","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","VALLE DEL CAUCA","TULUÁ","2"
